지역구,업종,남성_p-value,여성_p-value,20241남자_건수,20242남자_건수,20243남자_건수,20244남자_건수,20241여자_건수,20242여자_건수,20243여자_건수,20244여자_건수
강남구,요식업,0.8850361634077928,0.9746813178523696,13013142.775478136,12994358.961708449,12984617.404168438,12979565.291510759,12038624.699727591,12031597.358603166,12028949.77505809,12027952.285608804
강남구,서비스업,0.9122691091437837,0.8900968240506857,2660353.8748072158,2660102.755440851,2660034.957109344,2660016.652612078,2745881.092814237,2746357.9187180637,2746490.8722868217,2746527.9437867207
강남구,판매업,0.9631638974934381,0.02019884264989969,23512202.112289686,23507845.913940586,23507738.65858191,23507736.017813273,19649776.598111197,19726386.25764037,19656936.24732177,19719895.722182997
강동구,요식업,0.013418672713137944,0.9198199795661033,9010579.930345627,9054305.323195277,9094957.50604188,9132752.477395853,6821736.735095959,6804704.489324814,6799152.414200573,6797342.5801599305
강동구,서비스업,0.8480631769173194,0.007049061505188035,3964606.514704473,3961228.46099432,3959903.0336921085,3959382.98348445,3419249.970588873,3380190.945398627,3416400.2946918183,3382832.714091682
강동구,판매업,0.8767949525885778,0.9955265784579069,17929582.69099269,17943711.134942118,17942477.763419647,17942585.433119006,15608256.481495347,15592783.684654238,15590959.940851549,15590744.980266724
강북구,요식업,0.031211129651031896,0.005441265944018761,6640319.034645893,6723318.049001249,6805581.618027959,6887116.258427886,5553697.41053306,5623450.756839592,5693203.038935833,5762954.256838018
강북구,서비스업,0.5116678243639099,0.03169823337798357,3491526.0045947614,3490295.5625746674,3489534.7630467755,3489064.350047066,3059437.586520108,3015181.299687027,3055865.8526033266,3018464.7743736478
강북구,판매업,0.002611831846888855,6.728343213952048e-06,16254125.311432874,16359571.688438265,16282095.187523423,16339020.881553674,14426109.882180609,14496076.768326448,14560538.762372138,14619928.981163425
강서구,요식업,0.0024750473125693573,0.8055547647687658,10364004.067427581,10473052.025994686,10578649.615461638,10680906.008407949,8377548.479068611,8360273.616533749,8352566.768547918,8349128.506405059
강서구,서비스업,0.001698243622576776,0.003628752449600798,5450359.699581104,5394085.534140071,5445441.221807166,5398574.126842891,4731822.06674136,4655308.043642205,4725723.254322989,4660920.7293166425
강서구,판매업,0.8756364091186563,0.87074452271687,23055694.979345504,23060999.503443852,23060830.95809129,23060836.31343238,20939472.062487118,20945522.082834907,20945039.692993954,20945078.155667678
관악구,요식업,0.02367728953805156,0.7878359050523718,12306031.075586341,12388268.312757848,12467201.974580418,12542964.769915164,9725930.041826598,9710664.063304266,9702591.654648717,9698323.092276063
관악구,서비스업,0.7573793556356971,0.00627387025364156,7057598.13227067,7055938.242801558,7055204.46647486,7054880.090841637,5435956.499235147,5364354.616017764,5430974.456203193,5368990.0096089905
관악구,판매업,0.6803584420513693,0.020103749063778376,23474579.860917725,23516978.186506886,23507146.49498948,23509426.352902506,20306279.731781922,20178332.269571483,20289450.353887696,20192948.02043932
광진구,요식업,0.7044416960264597,0.34965839618325123,8711443.554542053,8725684.716160169,8715678.981930584,8722708.936379366,7323839.793459732,7370232.12728534,7334143.70741756,7362216.751844446
광진구,서비스업,1.060431725025591e-06,0.00041215786078341733,4431304.423083243,4374299.320487476,4428002.163012367,4377410.283269528,3728420.778245854,3676470.6449071234,3725645.734347957,3679097.4530231203
광진구,판매업,0.011179622934797559,0.3647982368943147,20477402.638362035,20199800.752978183,20430345.052088886,20238881.389012706,17262311.072555497,17265826.245222945,17264403.663816307,17264979.37888068
구로구,요식업,0.008883959811892914,0.9952803073553922,6994401.813383335,7067826.065607191,7139812.475836674,7210389.200839312,5575732.5082359295,5574665.893176526,5574480.105764902,5574447.744547035
구로구,서비스업,0.6218808233347061,0.0002454248392528398,4037179.545303576,4039887.2480782266,4041021.3811025233,4041496.4176275227,3580978.9467701083,3508951.8242420587,3574718.137821547,3514668.4252962233
구로구,판매업,0.00012550592184150362,0.5261618685719941,17742684.365793876,17751970.951176587,17744806.69725479,17750333.651688606,15022266.109157521,15038666.120118205,15033515.97992046,15035133.292501532
금천구,요식업,0.05946783609905201,0.029122199105141057,4629748.603648463,4679674.588914106,4729268.183574829,4778531.60057673,3608520.9769906607,3643119.4727827213,3677699.497242864,3712261.060232504
금천구,서비스업,0.9288451008632831,0.0006811276102728418,3133826.665342624,3134022.192482118,3134097.351646848,3134126.2422656007,2852022.1744583864,2806395.975467341,2848787.085650728,2809401.6829146217
금천구,판매업,0.0037506232684102864,2.7570673738347573e-06,16047431.804946974,16071071.612831844,16092188.77712297,16111052.493354091,14787995.470724894,14423784.484912243,14786714.506982053,14425060.943387054
노원구,요식업,0.6048995790824978,0.47651046459260604,5714678.248554267,5724543.025930828,5717707.149857825,5722444.124642121,4883870.874596895,4911167.899106872,4889620.043556545,4906629.592661358
노원구,서비스업,0.7993772793530582,0.0009092292542078281,2421038.377705697,2421529.681389246,2421682.901349511,2421730.6851480245,2196735.886971717,2157232.774239171,2193514.19100201,2160191.7231946993
노원구,판매업,0.0009274437968042741,0.5345166618705457,8861523.782922707,8901551.573391218,8938392.115274277,8972299.19608867,7774066.681187871,7775928.426659087,7775062.8371887645,7775465.279489668
도봉구,요식업,0.022273920043036546,0.026804453156261066,4306443.325022783,4375719.0561658535,4444433.773760936,4512592.021046996,3779516.1282735574,3842218.338092312,3904788.9064152865,3967228.1096200347
도봉구,서비스업,3.449479059703477e-06,0.025759054634052758,2417191.014628244,2386437.1389344977,2415103.8394722757,2388382.6636469555,2480559.176589628,2445646.87914495,2478098.8289356246,2447933.8405992016
도봉구,판매업,0.8316876823001027,0.9173905356515752,10217953.01337087,10227325.179547809,10225463.584012473,10225833.353164209,9390436.056302622,9379171.957403177,9375977.996324642,9375072.341335079
동대문구,요식업,0.3757686224549166,0.026239416256693352,9107153.696484303,9165865.27868181,9120050.794455284,9155801.269683179,7397919.668107789,7594951.510161465,7423762.049389264,7572498.574277934
동대문구,서비스업,0.8409781140951781,0.0030503177711693006,3033005.807931076,3027521.8128430042,3025714.3812080175,3025118.6824404793,2576789.929844835,2542050.6921628146,2574439.766424456,2544241.863375217
동대문구,판매업,0.010234671371449068,0.0026647166960878984,27866569.276289154,28389693.339628007,28910830.763329983,29429989.09194775,25477549.55977392,26028616.293665975,26578882.366672315,27128348.942096423
동작구,요식업,0.8781416361575461,0.9723632045421299,7941072.909907891,7936695.398558255,7934814.884701854,7934007.043880513,7634090.074607069,7631574.088656138,7630934.541978022,7630771.973521177
동작구,서비스업,0.6530243151717539,0.011401000569352447,3891894.6108226697,3893641.1729690484,3894330.763318075,3894603.032387032,3729782.4424869847,3668687.436967786,3724952.6022971934,3673135.4561550138
동작구,판매업,0.973496970808037,0.924304903164402,15108321.377392864,15106972.742321657,15106941.784070075,15106941.073415753,14929160.896961322,14934862.300594121,14934253.677690258,14934318.647978798
마포구,요식업,0.7820546363220566,0.5950128514649247,10978116.334241528,10985127.711633205,10980455.503443267,10983568.947229084,12594675.8062765,12634259.076917635,12605445.407184206,12626419.610428654
마포구,서비스업,1.713957493764705e-05,0.011582270574931082,2952450.4954231624,2912953.5191738033,2949886.9164743843,2915350.7072326783,3406426.593111479,3356194.076467882,3403172.867864222,3359237.047233938
마포구,판매업,0.007018763324167381,8.472560787881542e-07,18548877.133714516,18361063.030364104,18517783.944461823,18387008.648690775,19507772.901639353,19650104.20617422,19792424.914393537,19934735.02708618
서대문구,요식업,0.652553490408465,0.1656209815864187,6890073.445870442,6905728.7792138485,6894135.447241982,6902720.722512822,7391516.50380996,7496942.730266111,7408735.4587297235,7482536.09651628
서대문구,서비스업,0.002617631257716657,0.002989612257752507,3348796.100425559,3422115.5829087887,3495386.4796667467,3568608.8228951413,2790453.2919448656,2757319.299504769,2788567.7648277236,2759097.5285800016
서대문구,판매업,0.0020088601540083294,0.5009441373184562,13005083.462315898,12823749.964477355,12980000.185208859,12845363.552873107,13654655.70636688,13637136.22213882,13643743.210851751,13641251.567873878
서초구,요식업,0.6691227561700795,0.9769844763689309,6393273.549286775,6396939.819606411,6394636.786698725,6396083.477780253,5775348.884741761,5776614.404305395,5777059.6617659265,5777216.320115474
서초구,서비스업,3.4091639997467893e-07,0.39840047212079677,1753884.9172011525,1725869.6154921541,1752507.5239714622,1727179.288155102,1846619.0504822962,1837793.5467667563,1843648.9985962822,1839764.0853683236
서초구,판매업,0.02457101715153942,0.0020975194861418867,9299215.665775703,9346744.391580064,9391459.251464836,9433526.836081872,8264145.562568107,8175401.54186674,8256089.38066269,8182726.38360546
성동구,요식업,0.7548862454087142,0.407061198213461,6294224.514729269,6301089.501678044,6296292.990919717,6299644.2741233725,5339836.579763227,5368658.750277258,5346195.645620346,5363702.691822219
성동구,서비스업,0.7735650955514066,0.019635371998932862,3850844.3740434935,3848310.2666742043,3847252.6092682495,3846811.176043309,2216854.34602567,2183747.642895581,2212093.3636341137,2187823.961723882
성동구,판매업,0.3372200131801445,0.8966214322468283,19123096.530938692,19094382.63072127,19085857.483202048,19083326.369710874,21320356.61838227,21322008.153496653,21322093.96759079,21322098.426508248
성북구,요식업,0.42624337718980676,0.025259959493714377,9442451.606267562,9487859.433785569,9454143.609393194,9479177.989512054,9831920.930994581,10093228.455832697,9862460.814545577,10066257.870517127
성북구,서비스업,0.6300016920664919,0.48526084494489974,4223040.0710552875,4218843.174807606,4217286.750958004,4216709.549365054,4869894.501313474,4847031.555422925,4860047.83535613,4852637.436708877
성북구,판매업,2.8466342019182742e-05,0.8585258015437701,16205086.924938545,16280240.517176867,16349020.41426451,16411967.162417082,15640139.841536831,15633681.149207251,15631594.908846365,15630921.026484225
송파구,요식업,0.004736014148919905,0.027503984941652713,9560727.226967694,9669258.04024247,9774457.907641908,9876429.060044868,7884970.721748675,7971372.377124064,8056144.297675335,8139317.223966259
송파구,서비스업,0.0270259551247346,2.160809537967721e-05,4297769.657230694,4244115.571206589,4294441.2219097065,4247237.526788438,3963735.75580786,3899435.3452725816,3959002.5162975104,3903820.164670589
송파구,판매업,0.8774356242212583,0.6874829044022406,16992913.77352428,17003070.26496683,17002471.711053528,17002506.985713992,14361734.317078132,14359721.307181887,14359686.089167016,14359685.473020729
양천구,요식업,0.04248950993819457,0.00014444097265426417,5660829.116401547,5727272.464180823,5793391.6327732,5859188.203859142,4497754.734031542,4450197.763472662,4493938.858944946,4453707.460463694
양천구,서비스업,0.009922451498907643,0.0004195384451033853,3068794.5764514557,3082403.1804512767,3095129.0440426287,3107029.427369811,2890447.2875576825,2843892.572811256,2887272.1210879213,2846851.183725568
양천구,판매업,0.8414876459476481,0.8566565646185501,11990598.394448858,12005533.743391527,12003520.262967518,12003791.706469335,10462771.249325197,10468119.78205854,10467805.865734791,10467824.290125784
영등포구,요식업,0.0049051085938608355,0.9770242268340693,9559521.38967878,9656005.669929402,9750690.055687701,9843608.123616893,7326860.881076769,7322672.496312651,7321966.6465967065,7321847.692907025
영등포구,서비스업,3.23381643593623e-06,0.00022317136561732408,3413678.804213256,3374506.6751579107,3411820.6600401476,3376276.6775870975,3068010.801158293,3023839.9970452953,3065255.156693987,3026423.727582152
영등포구,판매업,0.9152784096370521,0.9285305030456055,25141265.84260213,25144271.156101555,25144229.860607304,25144230.428041566,23502683.30333556,23484056.377622623,23479248.120693155,23478006.94246245
용산구,요식업,0.7550870358213992,0.2702433138865672,8278583.958359516,8288795.1724363975,8282027.998816491,8286512.738677703,8033957.408154255,8188409.061922408,8060982.680918626,8166112.552820775
용산구,서비스업,9.053552847855656e-05,0.0005397453936051203,1295255.9918235727,1277465.7433587802,1294395.0334823513,1278285.0356565628,1503375.5556242594,1465117.966615261,1499826.4925912716,1468337.7917443872
용산구,판매업,0.306489708815746,0.14535177325635737,13184069.20224758,13240363.338732675,13296400.587091787,13352182.11958749,11081306.628832785,11112134.715576688,11142945.270207996,11173738.302697323
은평구,요식업,0.013165859147416576,0.9965590833441865,7756917.581957508,7841879.0576048875,7925840.341755501,8008813.20895802,7377984.502454262,7376057.141840332,7375971.072280969,7375967.2286987165
은평구,서비스업,4.514264495500522e-05,0.01823769029259979,4150913.6005394417,4119217.9865229554,4148458.712674799,4121482.7384771584,3929149.7682205974,3880797.676126127,3925935.9186597117,3883797.9086840544
은평구,판매업,0.8185399541252502,0.8360407042488808,17386727.483991574,17411407.080794245,17407757.334474713,17408297.077822365,15958747.636243215,15975292.896335604,15972627.495500505,15973056.88503999
종로구,요식업,0.2751830280493718,0.14303819140463214,5853583.621671187,5891275.482426143,5864272.267298572,5883617.919453196,6869878.43566772,6978883.273994511,6892549.681090279,6960927.281370814
종로구,서비스업,0.7190964596441282,0.018116381491714385,944269.4705402371,944801.0829046128,944966.6947328239,945018.2873583559,869854.2004281422,864036.1862368146,867729.023786664,865385.0884298363
종로구,판매업,0.27072723396149856,0.030232631470297647,9290421.593139518,9300846.567336245,9294665.735153679,9298330.2705039,8102418.5042461045,8181849.192017152,8122288.499172547,8166949.778480045
중구,요식업,0.8232120536048103,0.2817622463815267,4452731.483743161,4455238.410000931,4453823.743424929,4454622.04433827,4217655.516185631,4243569.733655973,4223469.25348,4239060.281986536
중구,서비스업,0.7248408303824163,0.0077041200540537095,1014742.054218345,1014628.7194443548,1014580.7814961771,1014560.5048697315,993648.3149371406,979802.3669710909,992394.7414634805,980942.4454021784
중구,판매업,0.010566335897555715,0.9174877771144664,7166310.397869427,7186257.60039772,7204732.018297087,7221842.393360277,6395774.694567149,6395821.762730242,6395815.438500672,6395816.288244469
중랑구,요식업,0.012189892383062109,4.0733431441779734e-05,9065222.501176909,9180880.2069362,9296530.117803253,9412172.234303419,7210746.247371571,7126373.272950686,7206282.338857744,7130601.010115137
중랑구,서비스업,0.40984002092502314,0.6181668093141157,5205868.960113231,5202705.148587821,5200909.376836694,5199890.101144622,4565134.489967785,4567894.103647643,4569035.4268566435,4569507.456212387
중랑구,판매업,8.028934797788952e-06,0.799742080415528,20190811.282740876,20207857.140906483,20193998.264674835,20205266.013622303,18969540.60097263,18986111.86508835,18982041.4091322,18983041.249070495
